,WT2-rmGR CTD,,,,WT3-rmGR CTD,,,,WT2-rmGR Peptide,,,,WT3-rmGR Peptide,,,,WT3-rmGR Peptide,,,,
Wavelengths,WT2,DOPS,DOPS:DOPC,DOPC,WT3,DOPS,DOPS:DOPC,DOPC,WT2 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,40 mM SDS,71 mM DPC,NTS1 Peptide,NTS1 w/ DOPS
258,-0.39,-0.028,-0.4965,0.121,-0.454,0.097,-0.232,-0.725,-0.843,0.012,-0.414,0.202,-0.441,-0.016,0.452,0.288,-0.226,0.399,-0.187,0.093,-0.382
257,-0.455,-0.087,-0.538,-0.074,-0.408,-0.042,-0.279,-0.745,-0.778,-0.115,-0.423,-0.059,-0.272,0.037,0.407,0.065,-0.269,0.245,-0.011,0.024,-0.097
256,-0.313,-0.009,-0.561,-0.159,-0.423,0.028,-0.36,-0.759,-0.822,-0.205,-0.429,0.187,-0.096,-0.205,0.276,0.186,-0.237,0.392,0.029,-0.125,0.013
255,-0.4405,-0.05,-0.537,-0.047,-0.431,0.036,-0.373,-0.873,-0.436,-0.306,-0.218,-0.047,0.002,-0.242,0.522,0.381,-0.167,0.278,0.185,0.007,-0.342
254,-0.4115,-0.167,-0.5845,-0.229,-0.51,0.142,-0.224,-0.87,-0.62,-0.078,-0.465,0.258,-0.022,-0.015,0.399,0.449,0.024,0.226,0.013,-0.056,-0.149
253,-0.5025,-0.126,-0.602,-0.179,-0.439,0.082,-0.357,-0.81,-0.472,-0.287,-0.636,0.339,-0.347,-0.265,0.295,0.141,-0.096,0.139,0.158,0.047,-0.021
252,-0.476,-0.043,-0.6995,-0.142,-0.499,0.082,-0.376,-0.926,-0.549,-0.213,-0.375,0.262,-0.332,-0.258,0.553,0.765,0.052,0.007,0.049,-0.173,-0.125
251,-0.496,-0.094,-0.694,-0.192,-0.558,0.115,-0.505,-0.943,-0.787,-0.324,-0.574,0.097,-0.185,-0.203,0.201,0.228,-0.138,0.18,-0.145,-0.274,-0.33
250,-0.5455,0.012,-0.716,-0.153,-0.392,0.101,-0.316,-0.882,-0.639,-0.327,-0.272,0.411,-0.173,-0.296,0.305,0.784,-0.123,0.366,0.066,-0.221,-0.368
249,-0.5075,-0.113,-0.745,-0.188,-0.676,0.136,-0.527,-0.937,-0.764,-0.149,-0.592,0.042,-0.111,-0.125,0.359,0.319,-0.063,0.367,0.233,-0.001,-0.142
